"LANGUAGE","English","French","Italian","Spanish","German","Czech"
"STR_TIT_HONZA_H","Jan Hovora","Jan Hovora","Jan Hovora","Jan Hovora","Jan Hovora","Jan Hovora"
"STR_TIT_PETR_P","Petr Pechar - Viktor Bocan - VojtÏch Nov·k - Honza Kraml","Petr Pechar - Viktor Bocan - VojtÏch Nov·k - Honza Kraml","Petr Pechar - Viktor Bocan - VojtÏch Nov·k - Honza Kraml","Petr Pechar - Viktor Bocan - VojtÏch Nov·k - Honza Kraml","Petr Pechar - Viktor Bocan - VojtÏch Nov·k - Honza Kraml","Petr Pechar - Viktor Bocan - VojtÏch Nov·k - Honza Kraml"
"STR_TIT_MICHAL_V","Michal Vondracek","Michal Vondracek","Michal Vondracek","Michal Vondracek","Michal Vondracek","Michal Vondr·Ëek"
,,,,,,
"COMMENT","Strings in resources","ChaÓnes des ressources","Stringhe in risorse","Textos en los recursos","Ketten in Ressourcen","ÿetÏzce ve zdrojÌch"
"COMMENT","General items","Objets gÈnÈraux","Opzioni generali","Elementos generales","Allgemeine Objekte","ObecnÈ p¯edmÏty"
"STR_DISP_OK","OK","OK","OK","Aceptar","OK","OK"
"STR_DISP_CANCEL","Cancel","Annuler","Annulla","Cancelar","Abbrechen","Zruö"
"STR_DISP_CLOSE","Close","Fermer","Chiudi","Cerrar","Schlieﬂen","Zav¯i"
"STR_DISP_DEFAULT","Default","Par dÈfaut","Predefinito","Predeterm.","Voreinstellung","Obnov"
"STR_DISP_NEW","New","Nouveau","Nuovo","Nuevo","Neu","Nov˝"
"STR_DISP_DELETE","Delete","Effacer","Elimina","Borrar","Lˆschen","Smazat"
"STR_DISP_EDIT","Edit","Editer","Modifica","Modificar","Bearbeiten","ZmÏnit"
"STR_DISP_CONTINUE","Continue","Continuer","Continua","Continuar","Weiter","PokraËuj"
"STR_DISP_ERROR","ERROR - replace","ERREUR - remplacer","ERRORE - sostituisci","ERROR: sustituir","FEHLER - ersetzen","CHYBA - nahraÔte"
,,,,,,
"COMMENT","Main display","Ecran principal","Visualizzazione principale","Pantalla principal","Hauptanzeige","HlavnÌ displej"
"STR_DISP_MAIN_GAME","CAMPAIGN GAME","CAMPAGNE","CAMPAGNA MILITARE","JUEGO DE CAMPA—A","KAMPAGNE  SPIELEN","KAMPA“"
"STR_DISP_MAIN_OPTIONS","OPTIONS","OPTIONS","OPZIONI","OPCIONES","OPTIONEN","NASTAVENÕ"
"STR_DISP_MAIN_SINGLE","SINGLE MISSION","MISSION UNIQUE","MISSIONI SINGOLE","MISI”N INDIVIDUAL","EINZELEINSATZ","JEDNOTLIV… MISE"
"STR_DISP_MAIN_CUSTOM","MISSION EDITOR","EDITEUR DE MISSION","CREA UNA MISSIONE","EDITOR DE MISIONES","EINSATZEDITOR","EDITOR MISÕ"
"STR_DISP_MAIN_MULTI","MULTIPLAYER","MULTIJOUEURS","MULTIPLAY","VARIOS JUGADORES","MEHRSPIELER","SÕçOV¡ HRA"
"STR_DISP_MAIN_QUIT","QUIT GAME","QUITTER PARTIE","ESCI","SALIR","SPIEL ABBRECHEN","KONEC HRY"
"STR_DISP_MAIN_CREDITS","Credits","CrÈdits","Titoli di coda","Colaboradores","Mitarbeiter","Auto¯i"
"STR_DISP_MAIN_ARCADE","Debug arcade","DÈbogage arcade","Debug arcade","Depurar juego estilo recreativas","‹bersicht Fehlerbehebung","Hled·nÌ chyb"
"STR_DISP_MAIN_CONTINUE","CONTINUE","CONTINUER","CONTINUA","CONTINUAR","WEITER","POKRA»OVAT"
"STR_DISP_MAIN_DESIGN","ALL MISSIONS (FOR DESIGNERS)","TOUTES LES MISSIONS (POUR CONCEPTEURS)","TUTTE LE MISSIONI (PER DESIGNER)","TODAS LAS MISIONES (PARA DISE—ADORES)","ALLE EINSƒTZE (F‹R ENTWICKLER)","VäECHNY MISE (PRO N¡VRH¡ÿE)"
,,,,,,
"STR_DISP_MAIN_SAVE","Testing save","Test enregistrement","Controllo salvataggio","Guardar prueba","Test: Speichern","Testuji uloûenÌ"
"STR_DISP_MAIN_LOAD","Testing load","Test chargement","Controllo caricamento","Cargar prueba","Test: Laden","Testuji nahr·v·nÌ"
,,,,,,
"COMMENT","Single mission display","Ecran mission unique","Visualizzazione missione singola","Pantalla de misiones","Anzeige f¸r Einzeleins‰tze","Displej jednotliv˝ch misÌ"
"STR_DISP_SINGLE_TITLE","Single missions","Missions uniques","Missioni singole","Misiones de un solo jugador","Einzeleins‰tze","JednotlivÈ mise"
,,,,,,
"COMMENT","Game display","Ecran de jeu","Visualizzazione partita","Pantalla del juego","Spielanzeige","HernÌ displej"
"STR_DISP_GAME_SELECT","Select the game:","SÈlectionner la partie†:","Selezionare la partita:","Seleccionar partida:","Spiel ausw‰hlen:","Vyberte hru:"
"STR_DISP_GAME_NEW","New game","Nouvelle partie","Nuova partita","Nuevo partida","Neues Spiel","Nov· hra"
"STR_DISP_GAME_NAME","Name:","Nom†:","Nome:","Nombre:","Name:","JmÈno:"
"STR_DISP_GAME_SIDE","Choose side:","Choisir camp†:","Scegli fronte:","Elegir bando:","Seite w‰hlen:","Zvol stranu:"
"STR_DISP_GAME_WEST","West","Ouest","NATO","Oeste","Westen","Z·pad"
"STR_DISP_GAME_EAST","East","Est","Russi","Este","Osten","V˝chod"
"STR_DISP_GAME_GUERRILA","Resistance","RÈsistance","Resistenza","Resistencia","Widerstandsk‰mpfer","Partyz·ni"
,,,,,,
"COMMENT","Custom game display","Ecran de jeu personnalisÈ","Visualizzazione partita personalizzata","Pantalla de personalizaciÛn","Benutzerdefinierte Spielanzeige","Displej vlastnÌ hry"
"STR_DISP_CUST_PLAY","Play","Jouer","Gioca","Jugar","Spielen","Hra"
"STR_CUST_EDIT","Edit","Editer","Modifica","Modificar","Bearbeiten","⁄pravy"
"STR_CUST_NEW","New","Nouveau","Nuovo","Nuevo","Neu","Nov·"
,,,,,,
"COMMENT","Campaign display","Ecran de campagne","Visualizzazione campagna","Pantalla de campaÒa","Anzeige der Kampagne","Displej kampanÏ"
"STR_DISP_CAMPAIGN_REPLAY","Replay mission","RÈessayer la mission","Rigioca missione","Repetir la misiÛn","Einsatz wiederholen","Znovu hr·t misi"
"STR_DISP_COLD_WAR_ASSAUL","Cold War Assault","Cold War Assault","Cold War Assault","Cold War Assault","Cold War Assault","Cold War Assault"
"STR_DISP_CAMPAIGN_CONTENTS","Contents:","Table des matiËres†:","Indice:","Õndice:","Inhalt:","Obsah:"
,,,,,,
"COMMENT","Arcade game display","Ecran de jeu Arcade","Visualizzazione arcade","Pantalla estilo recreativas","Arcade-Spielanzeige","Displej akËnÌ hry"
"STR_DISP_GAME_ARCADE","Arcade game","Jeu Arcade","Partita arcade","Partida estilo recreativas","Arcade-Spiel","Arkada"
,,,,,,
"COMMENT","Options display","Ecran Options","Visualizzazione opzioni","Pantalla de opciones","Anzeige der Optionen","Displej voleb"
"STR_DISP_OPTIONS_TITLE","Options","Options","Opzioni","Opciones","Optionen","NastavenÌ"
"STR_DISP_OPTIONS_VIDEO","Video options","Options vidÈo","Opzioni video","Opciones de vÌdeo","Video-Optionen","Grafika"
"STR_DISP_OPTIONS_AUDIO","Audio options","Options audio","Opzioni audio","Opciones de sonido","Audio-Optionen","Zvuk"
"STR_DISP_OPTIONS_CONFIGURE","Controls","Commandes","Controlli","Controles","Steuerung","Ovl·d·nÌ"
"STR_DISP_OPTIONS_DIFFICULTY","Difficulty","DifficultÈ","Difficolt‡","Dificultad","Schwierigkeitsgrad","ObtÌûnost"
,,,,,,
"STR_DISP_OPT_VISUALS","Visuals","Graphismes","Effetti video","Efectos visuales","Visuelle Darstellung","Grafika"
"STR_DISP_OPT_QUALITY","Visual quality:","QualitÈ graphique†:","Qual. dell'immagine:","Calidad de imagen:","Visuelle Qualit‰t:","Kvalita zobrazenÌ:"
"STR_DISP_OPT_VISIBILITY","Visibility:","VisibilitÈ†:","Visibilit‡:","Apariencia:","Sichtbarkeit:","Viditelnost:"
"STR_DISP_OPT_FRAMERATE","Frame rate:","DÈbit de trames†:","Frame Rate:","Frecuen. de im·genes","Frames pro Sekunde:","SnÌmkov· frekvence:"
"STR_DISP_OPT_TEXTURES","Texture resolution","RÈsolution de texture","Risoluzione texture:","Textura","Texturauflˆsung","RozliöenÌ textur"
"STR_DISP_OPT_GAMMA","Gamma correction:","Correction gamma†:","Correzione gamma:","CorrecciÛn gamma:","Gamma-Korrektur:","Gamma korekce:"
"STR_DISP_OPT_BRIGHT","Brightness:","LuminositÈ†:","Luminosit‡:","Brillo:","Helligkeit:","Jas:"
"STR_DISP_OPT_RESOLUTION","Resolution:","RÈsolution†:","Risoluzione:","ResoluciÛn:","Auflˆsung:","RozliöenÌ:"
"STR_DISP_OPT_REFRESH","Refresh rate:","Taux de rafraÓchissement†:","Frequenza di aggiornamento:","Frecuencia de actualizaciÛn:","Bildwiederholungsrate:","ObnovovacÌ frekvence:"
"STR_DISP_OPT_OBJSHADOWS","Object shadows:","Ombres objets†:","Ombre oggetti:","Sombra de objetos:","Objektschatten:","StÌny objekt˘:"
"STR_DISP_OPT_VEHSHADOWS","Vehicle shadows:","Ombres vÈhicules†:","Ombre veicoli:","Sombra de vehÌculos:","Fahrzeugschatten:","StÌny vozidel:"
"STR_DISP_OPT_CLOUDLETS","Cloudlets:","Petits nuages†:","Sistema Particellare:","Nubes:","Wolken:","Kou¯e:"
"STR_DISP_OPT_HWTL","Hardware T&L:","Hardware T&L:","Hardware T&L:","Hardware T&L:","Hardware T&L:","HardwarovÈ T&L:"
,,,,,,
"STR_DISP_OPT_VOLUMES","Volume","Volume","Volume","Volumen","Lautst‰rke","Hlasitost"
"STR_DISP_OPT_MUSIC","Music:","Musique†:","Musica:","M˙sica:","Musik:","Hudba:"
"STR_DISP_OPT_EFFECTS","Effects:","Effets†:","Effetti sonori:","Efectos:","Effekte:","Efekty:"
"STR_DISP_OPT_VOICES","Radio:","Radio†:","Radio:","Radio:","Funk:","R·dio:"
"STR_DISP_OPT_SAMPLING","Sampling rate:","Taux d'Èchantillonnage†:","Frequenza di campionamento:","Frecuencia de muestreo:","Sampling Rate:","Frekvence vzorkov·nÌ:"
"STR_DISP_OPT_HWACC","Hardware acceleration:","AccÈlÈration matÈrielle†:","Accelerazione hardware:","AceleraciÛn por hardware:","Hardwarebeschleunigung:","Hardwarov· akcelerace:"
"STR_DISP_OPT_EAX","EAX:","EAX†:","EAX:","EAX:","EAX:","EAX:"
"STR_DISP_OPT_SINGLE_VOICE","Voices:","Voix†:","Voci:","Voces:","Stimmen:","Hlasy:"
,,,,,,
"COMMENT","Configuration display","Ecran de configuration","Visualizzazione di configurazione","Pantalla de configuraciÛn","Konfigurationsanzeige","Displej nastavenÌ"
"STR_DISP_CONF_NAME","Name","Nom","Nome","Nombre","Name","N·zev"
"STR_DISP_CONF_KEYS","Keys","Touches","Tasti di comando","Teclas","Tasten","Kl·vesy"
"STR_DISP_CONF_RES","Reserved keys: Esc, F1..F12, 1..0, Backspace","Touches rÈservÈes†: Echap, F1..F12, 1..0, Retour arriËre","Tasti riservati: Esc, F1..F12, 1..0, Retroceso","Teclas reservadas: Esc, de la F1 a F12, del 1 al 0, retroceso","Belegte Tasten: [Esc], [F1]-[F12], [1]-[0], R¸cktaste","ObsazenÈ kl·vesy: Esc, F1..F12, 1..0, Backspace"
"STR_DISP_CONF_SENS","Mouse sensitivity","SensibilitÈ de la souris","Sensibilit‡ mouse:","Sensibilidad del ratÛn","Mausempfindlichkeit","Citlivost myöi"
"STR_DISP_CONF_XAXIS","X Axis","Axe X","Asse X","Eje X","X-Achse","Osa X"
"STR_DISP_CONF_YAXIS","Y Axis","Axe Y","Asse Y","Eje Y","Y-Achse","Osa Y"
"STR_DISP_CONF_MOUSE_BUTTON","Primary mouse button:","Bouton princ. Souris:","Puls. mouse primario:","BotÛn prin. del rat:","Prim‰re Maustaste:","Prim·rnÌ tlaËÌtko myöi:"
,,,,,,
"COMMENT","Difficulty display","Ecran de difficultÈ","Visualizzazione difficolt‡","Pantalla de dificultad","Anzeige des Schwierigkeitsgrads","Displej obtÌûnosti"
"STR_DISP_DIFF_NAME","Name","Nom","Nome","Nombre","Name","N·zev"
"STR_DISP_DIFF_CADET","Cadet","ElËve","Cadetto","Cadete","Kadett","Kadet"
"STR_DISP_DIFF_VETERAN","Veteran","VÈtÈran","Veterano","Veterano","Veteran","Veter·n"
,,,,,,
"COMMENT","Multiplayer display","Ecran Multijoueurs","Visualizzazione multigiocatore","Pantalla de varios jugadores","Mehrspieleranzeige","Displej sÌùovÈ hry"
"STR_DISP_MULTI_NEW","New","Nouveau","Nuovo","Nuevo","Neu","Vytvo¯it"
"STR_DISP_MULTI_JOIN","Join","Rejoindre","Entra","Unirse","Beitreten","P¯ipojit se"
"STR_DISP_MULTI_SESSIONS","Active sessions:","Sessions actives†:","Sessioni attive:","Sesiones activas:","Aktive Sitzungen:","ProbÌhajÌcÌ hry:"
,,,,,,
"STR_DISP_PASSWORD_TITLE","Password","Mot de passe","Password","ContraseÒa","Passwort","Heslo"
"STR_DISP_PASSWORD","Password:","Mot de passe†:","Password:","ContraseÒa:","Passwort:","Heslo:"
,,,,,,
"STR_DISP_IP_TITLE","Server IP Address","Adresse IP du serveur","Indirizzo IP del server:","DirecciÛn IP del servidor","IP-Adresse des Servers","IP adresa serveru"
"STR_DISP_IP_ADDRESS","Address:","Adresse†:","Indirizzo","DirecciÛn:","Adresse:","Adresa:"
,,,,,,
"STR_DISP_SERVER_TITLE","Create game","CrÈer partie","Crea partita","Crear juego","Spiel erstellen","Vytvo¯enÌ hry"
"STR_DISP_SERVER_ISLAND","Island:","Ile†:","Isola:","Isla:","Insel:","Ostrov:"
"STR_DISP_SERVER_MISSION","Mission:","Mission†:","Missione:","MisiÛn:","Einsatz:","Mise:"
"STR_DISP_SERVER_EDITOR","Editor","Editeur","Editor","Editor","Editor","Editor"
,,,,,,
"STR_DISP_CLIENT_TEXT","Wait for server","Attendre le serveur","In attesa del server","Esperar a que responda el servidor","Auf Server warten","»ekej na server"
,,,,,,
"STR_DISP_SRVSETUP_TITLE","Server setup","Configuration de serveur","Configurazione server","InstalaciÛn del servidor","Server-Setup","P¯Ìprava serveru"
"STR_DISP_CLISETUP_TITLE","Client setup","Configuration de client","Configurazione client","InstalaciÛn del cliente","Client-Setup","P¯Ìprava klienta"
"STR_DISP_SRVSETUP_PLAYERS","Players","Joueurs","Giocatori","Jugadores","Spieler","Hr·Ëi"
"STR_DISP_SRVSETUP_UNITS","Units","UnitÈs","Unit‡","Unidades","Einheiten","Jednotky"
"STR_DISP_SRVSETUP_ISLAND","Island:","Ile†:","Isola:","Isla:","Insel:","Ostrov:"
"STR_DISP_SRVSETUP_NAME","Mission:","Mission†:","Missione:","MisiÛn:","Einsatz:","Mise:"
"STR_DISP_SRVSETUP_DESC","Description:","Description†:","Descrizione:","DescripciÛn:","Beschreibung:","Popis:"
"STR_DISP_SRVSETUP_ASSIGN","Assign","Assigner","Assegna","Asignar","Zuordnen","P¯i¯adit"
"STR_DISP_SRVSETUP_UNASSIGN","Unassign","Annuler assignation","Rimuovi","No asignar","Zuordnung aufheben","OddÏlit"
"STR_DISP_SRVSETUP_RANDOM","Random","AlÈatoire","Casuale","Al azar","Willk¸rlich","N·hodnÏ"
,,,,,,
"STR_DISP_SRVSIDE_POOL","Pool:","Liste†:","Risorse:","AgrupaciÛn:","Verf¸gbar:","K dispozici:"
"STR_DISP_SRVSIDE_WEST","West:","Ouest†:","NATO:","Oeste:","Westen:","Z·pad:"
"STR_DISP_SRVSIDE_EAST","East:","Est†:","Russi:","Este:","Osten:","V˝chod:"
"STR_DISP_SRVSIDE_RESIST","Resistance:","RÈsistance†:","Resistenza:","Resistencia:","Widerstandsk‰mpfer:","Partyz·ni:"
"STR_DISP_SRVSIDE_CIVIL","Civilians:","Civils†:","Civili:","Civiles:","Zivilisten:","CivilistÈ:"
,,,,,,
"STR_DISP_MPROLE_ROLES","Roles:","RÙles†:","Ruoli:","Papeles:","Rollen:","Role:"
,,,,,,
"STR_DISP_SERVER_READY","Start game","Lancer partie","Inizia partita","Empezar el juego","Spiel beginnen","ZaËÌt hru"
"STR_DISP_CLIENT_READY","I'm ready","Je suis prÍt","Sono pronto","Estoy preparado","Bin bereit","Jsem p¯ipraven"
,,,,,,
"STR_DISP_CLIENT_WAIT_TEXT","Game in progress, wait please","Partie en cours, veuillez patienter","Partita in corso, attendere.","Cargando el juego. Aguarde...","Spiel l‰uft, bitte warten","Hra probÌh·, poËkej prosÌm"
,,,,,,
"STR_DISP_MP_PLAYERS","Players:","Joueurs†:","Giocatori:","Jugadores:","Spieler:","Hr·Ëi:"
"STR_DISP_MP_PLAYERS_TITLE","Players","Joueurs","Giocatori","Jugadores","Spieler","Hr·Ëi"
"STR_DISP_MP_PL","Player:","Joueur†:","Giocatore","Jugador:","Spieler:","Hr·Ë:"
"STR_DISP_MP_PL_NAME","Name:","Nom†:","Nome:","Nombre:","Name:","JmÈno:"
"STR_DISP_MP_PL_MAIL","E-mail:","E-mail†:","E-mail:","Correo electrÛnico:","E-Mail:","E-mail:"
"STR_DISP_MP_PL_ICQ","ICQ:","ICQ†:","ICQ:","DirecciÛn de ICQ:","ICQ (Internet-Chat):","ICQ:"
"STR_DISP_MP_PL_REMARK","Remark:","Remarque†:","Note:","Observaciones:","Anmerkung:","Pozn·mka:"
"STR_DISP_MP_SQ","Squad:","Escouade†:","Squadra:","escuadrÛn:","Trupp:","Druûstvo:"
"STR_DISP_MP_SQ_NAME","Name:","Nom†:","Nome:","Nombre:","Name:","N·zev:"
"STR_DISP_MP_SQ_ID","Id:","Pseudo†:","Id:","Nombre clave del jugador:","Kennung:","Id:"
"STR_DISP_MP_SQ_MAIL","E-mail:","E-mail†:","E-mail:","DirecciÛn de correo:","E-Mail:","E-mail:"
"STR_DISP_MP_SQ_WEB","Web:","Site Web†:","Web:","Sitio Web:","Internet:","Web:"
"STR_DISP_MP_SQ_PICTURE","Picture:","Photo†:","Immagine:","Foto:","Bild:","Obr·zek:"
"STR_DISP_MP_SQ_TITLE","Title:","Titre†:","Titolo:","TÌtulo:","Titel:","Titulek:"
,,,,,,
"COMMENT","Testing save display","Ecran test enregistrement","Visualizzazione test di salvataggio","Pantalla de prueba","Anzeige Speicherungstest","TestovacÌ displej ukl·d·nÌ"
"STR_DISP_SAVE_NAME","Testing","Test","Verifica","Prueba","Test","Testuji"
,,,,,,
"COMMENT","Briefing display","Ecran de briefing","Visualizzazione briefing","Pantalla de Ûrdenes","Anzeige der Besprechung","BrÌfink"
"STR_DISP_BRIEF_TITLE","Mission briefing","Briefing de mission","Briefing di missione","Resumen de la misiÛn","Einsatzbesprechung","BrÌfink mise"
"IDS_LOADING","Receiving mission status","RÈception du statut de mission","Ricezione stato della missione in corso","Recibiendo estado de la misiÛn","Erhalt des Einsatzstatus","P¯ebÌr·m stav mise"
,,,,,,
"COMMENT","Start of turn display","Ecran de dÈbut de tour","Visualizzazione di inizio turno","Pantalla de comienzo de turno","Anzeige Rundenanfang","Displej zaË·tku kola"
"STR_DISP_TURN_TITLE","Turn","Tour","Turno","Turno","Runde","Kolo"
,,,,,,
"COMMENT","Total win display","Ecran victoire totale","Visualizzazione vincite totali","Pantalla de victoria definitiva","Anzeige des Gesamterfolgs","Displej celkov˝ch vÌtÏzstvÌ"
"STR_DISP_WIN_TITLE","TESTING SCREEN-PRESS CONTINUE TO CONTINUE","ECRAN TEST-CLIQUEZ SUR CONTINUER POUR POURSUIVRE","VIDEATA DI VERIFICA - PER PROSEGUIRE PREMERE CONTINUA","PANTALLA DE PRUEBA: PULSE CONTINUAR PARA SEGUIR","BILDSCHIRMTEST - DR‹CKEN SIE ""WEITER"", UM FORTZUFAHREN","TESTOVACÕ OBRAZOVKA-POKRA»UJTE STISKEM POKRA»OVAT"
,,,,,,
"COMMENT","Total loss display","Ecran dÈfaite totale","Visualizzazione perdite totali","Pantalla de derrota definitiva","Anzeige der Gesamtverluste","ZobrazenÌ celkov˝ch ztr·t"
"STR_DISP_LOSS_TITLE","CONTINUE","CONTINUER","CONTINUA","CONTINUAR","WEITER","POKRA»OVAT"
,,,,,,
"COMMENT","Get ready display","Ecran de prÈparation","Visualizzazione di preparazione","Pantalla de preparaciÛn","Anzeige Vorbereiten","Displej p¯ipravenosti"
"STR_DISP_STAT_KILLED","DESTROYED","DETRUIT","DISTRUTTI","DESTRUIDO","ZERST÷RT","ZNI»EN"
"STR_DISP_STAT_BY_YOU","BY YOU","PAR VOUS","DA TE","POR USTED","DURCH SIE","TEBOU"
"STR_DISP_STAT_BY_GRP","BY YOUR GROUP","PAR VOTRE GROUPE","DAL TUO GRUPPO","POR SU EQUIPO","DURCH IHRE GRUPPE","TVOJÕ SKUPINOU"
"STR_DISP_STAT_TOTAL","TOTAL","TOTAL","TOTALE","TOTAL","GESAMT","CELKEM"
,,,,,,
"STR_DISP_BRIEFING","Briefing","Briefing","Briefing","Resumen","Besprechung","BrÌfink"
"STR_DISP_DEBRIEFING","Debriefing","DÈbriefing","Risultati della missione","Resumen","Nachbesprechung","Hl·öenÌ po misi"
"STR_DISP_DEBRIEFING_RESTART","Restart","Recommencer","Riavvia","Volver a empezar","Neu beginnen","Od zaË·tku"
,,,,,,
"COMMENT","Player killed display","Ecran joueur tuÈ","Visualizzazione giocatore ucciso","Pantalla de jugador muerto","Anzeige getˆteter Spieler","Displej zabitÈho hr·Ëe"
"STR_DISP_KILL_TITLE","YOU ARE KILLED","VOUS ETES MORT","SEI STATO UCCISO","HA MUERTO","SIE WURDEN GET÷TET","JSI MRTEV"
"STR_DISP_KILL_RETRY","Retry","RÈessayer","Riprova","Volver a intentarlo","Erneut versuchen","Opakovat"
"STR_DISP_KILL_CONTINUE","Continue","Continuer","Continua","Continuar","Weiter","PokraËovat"
,,,,,,
"COMMENT","Select island display","Ecran de sÈlection d'Óle","Visualizzazione di selezione isola","Pantalla de selecciÛn de isla","Anzeige Insel ausw‰hlen","V˝bÏr ostrova"
"STR_DISP_MISSION_EDITOR","Mission editor","CrÈateur de mission","Editor di missione","Creador de misiones","Einsatzeditor","Editor misÌ"
"STR_DISP_SELECT_ISLAND","Select island","SÈlection d'une Óle","Seleziona isola","Seleccionar isla","Insel ausw‰hlen","Vyberte si ostrov"
,,,,,,
"COMMENT","Custom arcade display","Ecran arcade personnalisÈ","Videata arcade personalizzata","Pantalla de personalizaciÛn estilo recreativas","Benutzerdefinierte Arcade-Anzeige","Displej vlastnÌ akËnÌ hry"
"STR_DISP_ARCMAP_INTEL","Intel","RENSEIGNEMENTS","Opzioni Generali","Intel","Nachrichtendienst","Pr˘zkum"
"STR_DISP_ARCMAP_LOAD","Load","Chargement","Carica","Cargar","Laden","NaËÌst"
"STR_DISP_ARCMAP_MERGE","Merge","Fusion","Collega","Combinar","Zusammenf¸hren","Spojit"
"STR_DISP_ARCMAP_SAVE","Save","Enregistrement","Salva","Guardar","Speichern","Uloûit"
"STR_DISP_ARCMAP_CLEAR","Clear","Effacer","Cancella tutto","Borrar","Zur¸cksetzen","Smazat"
"STR_DISP_ARCMAP_ADD_SECTION","Add cutscene","Ajouter sÈquence de transition","Aggiungi cutscene","AÒadir escena","Schnittszene einf¸gen","P¯idat scÈnu"
"STR_DISP_ARCMAP_PREVIEW","Preview","AperÁu","Anteprima","Vista previa","Vorschau","Zahr·t si"
"STR_DISP_ARCMAP_CONTINUE","Continue","Continuer","Continua","Continuar","Weiter","PokraËovat"
"STR_DISP_ARCMAP_UNITS","Units (F1)","UnitÈs (F1)","Unit‡ (F1)","Unidades (F1)","Einheiten (F1)","Jednotky (F1)"
"STR_DISP_ARCMAP_GROUPS","Groups (F2)","Groupes (F2)","Gruppi (F2)","Grupos (F2)","Gruppen (F2)","Skupiny (F2)"
"STR_DISP_ARCMAP_SENSORS","Triggers (F3)","DÈclencheurs (F3)","Trigger (F3)","Provocantes (F3)","Auslˆser (F3)","SpÌnaËe (F3)"
"STR_DISP_ARCMAP_WAYPOINTS","Waypoints (F4)","Points de passage (F4)","Tappe (F4)","P. intermedios (F4)","Wegmarken (F4)","Body trasy (F4)"
"STR_DISP_ARCMAP_SYNCHRONIZE","Synchronize (F5)","Synchroniser (F5)","Sincronizza (F5)","Sincronizar (F5)","Abstimmen (F5)","Synchroniz. (F5)"
"STR_DISP_ARCMAP_MARKERS","Markers (F6)","Marqueurs (F6)","Marcatori (F6)","Marcadores (F6)","Markierungen (F6)","ZnaËky (F6)"
"STR_DISP_ARCMAP_EXIT","Exit","Quitter","Esci","Salir","Beenden","Opustit"
,,,,,,
"STR_DISP_ARCUNIT_SIDE","Side:","Camp†:","Fronte:","Bando:","Seite:","Strana:"
"STR_DISP_ARCUNIT_CLASS","Class:","Classe†:","Classe:","Clase:","Art:","T¯Ìda:"
"STR_DISP_ARCUNIT_VEHICLE","Unit:","UnitÈ†:","Unit‡:","Unidad:","Einheit:","Jednotka:"
"STR_DISP_ARCUNIT_RANK","Rank:","Grade†:","Grado:","Rango:","Dienstgrad:","Hodnost:"
"STR_DISP_ARCUNIT_AZIMUT","Azimut:","Azimut†:","Azimut:","Acimut:","Azimut:","Azimut:"
"STR_DISP_ARCUNIT_CTRL","Control:","ContrÙle†:","Controllo:","Control:","Kontrolle:","Ovl·d·nÌ:"
"STR_DISP_ARCUNIT_HEALTH","Health/armor","SantÈ/blindage","Salute/corazza","Salud/blindaje","Gesundheitszustand / Panzerung","ZdravÌ / pancÌ¯"
"STR_DISP_ARCUNIT_FUEL","Fuel","Carburant","Carburante","Combustible","Treibstoff","Palivo"
"STR_DISP_ARCUNIT_AMMO","Ammunition","Munitions","Munizioni","MuniciÛn","Munition","Munice"
"STR_DISP_ARCUNIT_SPECIAL","Special:","SpÈcial†:","Speciale:","Especial:","Speziell:","Zvl·ötnÌ:"
"STR_DISP_ARCUNIT_AGE","Info age:","DurÈe info†:","Info et‡:","Disponible de la informaciÛn:","Info-Alter:","St·¯Ì infce:"
"STR_DISP_ARCUNIT_PLACE","Placement radius:","Rayon de placement†:","Raggio di posizionamento:","Radio de ubicaciÛn:","Radius der Platzierung:","PolomÏr umÌstÏnÌ:"
"STR_DISP_ARCUNIT_PRESENCE","Probability of presence:","ProbabilitÈ de prÈsence†:","Probabilit‡ di presenza:","Probabilidad de presencia:","Wahrscheinlichkeit der Anwesenheit:","PravdÏpodobnost v˝skytu:"
"STR_DISP_ARCUNIT_PRESENCE_COND","Condition of presence:","Condition de prÈsence :","Condizione di presenza:","CondiciÛn de presencia:","Bedingung der Anwesenheit:","PodmÌnka p¯Ìtomnosti:"
"STR_DISP_ARCUNIT_TEXT","Name:","Nom†:","Nome:","Nombre:","Name:","N·zev:"
"STR_DISP_ARCUNIT_LOCK","Vehicle lock:","Verrouillage vÈhicule†:","Blocco veicolo:","Bloquear vehÌculo:","Fahrzeug festschalten:","Z·mek vozidla:"
"STR_DISP_ARCUNIT_INIT","Initialization:","Initialisation†:","Inizializzazione:","IniciaciÛn:","Initialisierung:","Inicializace:"
"STR_DISP_ARCUNIT_SKILL","Skill:","QualitÈs†:","Abilit‡:","Destreza:","F‰higkeiten:","Dovednost:"
,,,,,,
"STR_DISP_ARCGRP_TITLE","Insert group","InsÈrer groupe","Inserisci gruppo","Insertar grupo","Gruppe einf¸gen","Vloû skupinu"
"STR_DISP_ARCGRP_SIDE","Side:","Camp†:","Fronte:","Bando:","Seite:","Strana:"
"STR_DISP_ARCGRP_TYPE","Type:","Type†:","Tipo:","Tipo:","Typ:","Typ:"
"STR_DISP_ARCGRP_NAME","Name:","Nom†:","Nome:","Nombre:","Name:","N·zev:"
,,,,,,
